date,ticker,adj_close,industry,label,forward_return,split,rate_pressure_z,curve_z,vix_z,rate_sensitivity,duration_weight,rate_penalty,rbs_conditional_score,fold,predicted_up_probability,model_says_up,model_was_right
2020-08-06,AVGO,28.989240646362305,Technology,1.0,0.10265535018068306,validation,-1.762202782471846,-0.4402945306378279,0.8557608546166292,0.20852242919252376,0.8841694314949766,1.5580858323569982,1.9735521563357996,1,0.5445813204359219,1,1
2020-08-06,AMZN,161.25,Technology,1.0,0.02158761431080425,validation,-1.762202782471846,-0.4402945306378279,0.8557608546166292,0.13620418308505805,0.5775281613200737,1.017721732834083,1.4331880568128845,1,0.518272507582835,1,1
2020-08-06,JNJ,124.90266418457031,Pharma,1.0,0.013751186379139746,validation,-1.762202782471846,-0.4402945306378279,0.8557608546166292,0.17053776330353482,0.7231081942235373,1.2742632718889095,1.689729595867711,1,0.5307844415519861,1,1
2020-08-06,MRK,64.05770111083984,Pharma,1.0,0.05169642209526226,validation,-1.762202782471846,-0.4402945306378279,0.8557608546166292,0.15564465195581464,0.6599589500655029,1.1629814981226272,1.5784478221014284,1,0.5253608791909369,1,1
2020-08-06,AXP,89.07345581054688,Financials,1.0,0.101647224042821,validation,-1.762202782471846,-0.4402945306378279,0.8557608546166292,0.29006019612485,1.2299029878951033,2.1673384674391882,2.5828047914179897,1,0.5739412923329525,1,1
2020-08-06,MSFT,205.63925170898438,Technology,0.0,-0.00731243248569724,validation,-1.762202782471846,-0.4402945306378279,0.8557608546166292,0.228949184243634,0.9707822360300334,1.7107151575063653,2.1261814814851667,1,0.5519739326587083,1,0
2020-08-06,GILD,54.898250579833984,Pharma,0.0,-0.040691678768351336,validation,-1.762202782471846,-0.4402945306378279,0.8557608546166292,0.1433983413822626,0.608032576966658,1.0714766989641717,1.486943022942973,1,0.5208966468739509,1,0
2020-08-06,LLY,143.15234375,Pharma,0.0,-0.008074288140911934,validation,-1.762202782471846,-0.4402945306378279,0.8557608546166292,0.1912127268516966,0.810773443651837,1.4287472183575476,1.844213542336349,1,0.5383012470660761,1,0
2020-08-06,GOOGL,74.58612060546875,Technology,1.0,0.05067290279447367,validation,-1.762202782471846,-0.4402945306378279,0.8557608546166292,0.1921684175117881,0.8148257293982207,1.435888167575196,1.8513544915539972,1,0.5386483136774057,1,1
2020-08-06,AAPL,110.28357696533203,Technology,1.0,0.06387549741132692,validation,-1.762202782471846,-0.4402945306378279,0.8557608546166292,0.240491810049147,1.0197248698557553,1.796962003015553,2.2124283269943543,1,0.5561413820168254,1,1
2020-08-06,BAC,22.03768539428711,Financials,1.0,0.04926885656287716,validation,-1.762202782471846,-0.4402945306378279,0.8557608546166292,0.4051198980999979,1.7177750680223731,3.0270680045297906,3.4425343285085916,1,0.6144566862062277,1,1
2020-08-06,CRM,204.25625610351562,Technology,1.0,0.2257568239622212,validation,-1.762202782471846,-0.4402945306378279,0.8557608546166292,0.23912362520438238,1.0139235408521559,1.7867388849033754,2.2022052088821766,1,0.555647801560595,1,1
2020-08-06,ABBV,73.93732452392578,Pharma,0.0,-0.007561876535749801,validation,-1.762202782471846,-0.4402945306378279,0.8557608546166292,0.1369163005615315,0.5805476566653435,1.0230426959331782,1.4385090199119794,1,0.5185323066920395,1,0
2020-08-06,WFC,21.27794647216797,Financials,1.0,0.022690047806642077,validation,-1.762202782471846,-0.4402945306378279,0.8557608546166292,0.38258838198069833,1.6222377300244173,2.8587118416798396,3.2741781656586406,1,0.606627981442541,1,1
2020-08-06,BMY,48.46831512451172,Pharma,0.0,-0.022501278562230165,validation,-1.762202782471846,-0.4402945306378279,0.8557608546166292,0.11039398265798665,0.4680886620453677,0.8248671426998705,1.2403334666786718,1,0.5088507141417841,1,0
2020-08-06,JPM,83.43339538574219,Financials,1.0,0.06458257854810934,validation,-1.762202782471846,-0.4402945306378279,0.8557608546166292,0.3376001873981477,1.4314803780116327,2.5225587051859493,2.9380250291647503,1,0.5908352690045331,1,1
2020-08-06,MS,41.39480972290039,Financials,1.0,0.06592522016281577,validation,-1.762202782471846,-0.4402945306378279,0.8557608546166292,0.3230608427962504,1.3698311631010385,2.413920287133295,2.8293866111120964,1,0.5856893052221542,1,1
2020-08-06,META,262.9706726074219,Technology,1.0,0.0657799103008081,validation,-1.762202782471846,-0.4402945306378279,0.8557608546166292,0.2002712269295561,0.8491829753988679,1.4964326020756062,1.9118989260544077,1,0.5415893743330554,1,1
2020-08-06,GS,178.366455078125,Financials,1.0,0.03900696903457357,validation,-1.762202782471846,-0.4402945306378279,0.8557608546166292,0.26595590646702943,1.1276968311479634,1.9872304936336247,2.402696817612426,1,0.5653064677502977,1,1
2020-08-06,PFE,27.247282028198242,Pharma,0.0,-0.049908427632839425,validation,-1.762202782471846,-0.4402945306378279,0.8557608546166292,0.17423363748517837,0.7387793092528163,1.3018789543979414,1.717345278376743,1,0.5321292772181551,1,0
2020-08-06,NVDA,11.296382904052734,Technology,1.0,0.11387030739082671,validation,-1.762202782471846,-0.4402945306378279,0.8557608546166292,0.24085516933307505,1.0212655730441036,1.7996770344610236,2.215143358439825,1,0.556272447363198,1,1
2020-08-06,AMGN,200.6906280517578,Pharma,1.0,0.035247015748611554,validation,-1.762202782471846,-0.4402945306378279,0.8557608546166292,0.1918509664842849,0.813479684775578,1.4335161639958438,1.848982487974645,1,0.5385330329684009,1,1
2020-08-06,SCHW,30.711502075195312,Financials,1.0,0.09233550403958057,validation,-1.762202782471846,-0.4402945306378279,0.8557608546166292,0.34199423957156816,1.4501118826760324,2.5553911945471914,2.9708575185259924,1,0.5923866190386827,1,1
2020-08-06,C,41.63188171386719,Financials,1.0,0.03203009690340841,validation,-1.762202782471846,-0.4402945306378279,0.8557608546166292,0.3530035010830847,1.496792964080613,2.637652726087138,3.053119050065939,1,0.5962653727846929,1,1
2020-08-07,CRM,197.6309051513672,Technology,1.0,0.2000495833094953,validation,-1.5631543481578463,-0.05342741320647044,0.7928513993915961,0.23780595141028457,1.0084114558094228,1.5763027518806831,2.3157267380658086,1,0.5762786196591021,1,1
2020-08-07,MSFT,201.9608917236328,Technology,0.0,-0.04391060577109995,validation,-1.5631543481578463,-0.05342741320647044,0.7928513993915961,0.22850711274465152,0.9689799134929321,1.5146651650540905,2.2540891512392163,1,0.5731011883478333,1,0
2020-08-07,WFC,22.006526947021484,Financials,0.0,-0.04387689532056405,validation,-1.5631543481578463,-0.05342741320647044,0.7928513993915961,0.3834185815974877,1.6258789477729827,2.5414997467896416,3.280923732974767,1,0.6250602840734291,1,0
2020-08-07,SCHW,31.545555114746094,Financials,1.0,0.018213725219415222,validation,-1.5631543481578463,-0.05342741320647044,0.7928513993915961,0.34304852442676437,1.4546905150141962,2.2739058037684177,3.013329789953543,1,0.6117430927521795,1,1
