date,ticker,adj_close,industry,label,forward_return,split,fund_earn_accel_yoy,fold,predicted_up_probability,model_says_up,model_was_right
2020-08-06,GOOGL,74.58613586425781,Technology,1.0,0.050672585558697136,validation,-0.32728106701333237,1,0.4950964582524662,0,0
2020-08-06,AXP,89.07344818115234,Financials,1.0,0.1016472327491953,validation,-0.09083438662792298,1,0.49988966747301883,0,0
2020-08-06,META,262.970703125,Technology,1.0,0.0657796705684004,validation,-0.03875665218119251,1,0.5009454124595883,1,1
2020-08-06,JNJ,124.90265655517578,Pharma,1.0,0.013750881805478343,validation,-0.8993206342743159,1,0.4835056135347992,0,0
2020-08-06,CRM,204.25625610351562,Technology,1.0,0.2257568239622212,validation,0.9376338905881726,1,0.5207274098062118,1,1
2020-08-06,AMGN,200.6906280517578,Pharma,1.0,0.03524693971721349,validation,-0.08872087704626336,1,0.49993251360451324,0,0
2020-08-06,BMY,48.46831130981445,Pharma,0.0,-0.022501122923241357,validation,0.4571284525201862,1,0.5109964732147616,1,0
2020-08-06,BAC,22.037683486938477,Financials,1.0,0.04926903392589965,validation,-0.06767747378228062,1,0.5003591160334049,1,1
2020-08-06,C,41.63189697265625,Financials,1.0,0.03202971864705462,validation,-0.26123267890696167,1,0.4964353276907123,0,0
2020-08-06,MSFT,205.6392822265625,Technology,0.0,-0.007312654005676156,validation,-0.37109690588599725,1,0.49420830329376475,0,1
2020-08-06,GILD,54.898258209228516,Pharma,0.0,-0.040691742599964775,validation,-2.0,1,0.46126387634588845,0,1
2020-08-06,AMZN,161.25,Technology,1.0,0.02158761431080425,validation,1.2854546471100603,1,0.5277619114360739,1,1
2020-08-06,JPM,83.43338012695312,Financials,1.0,0.06458259035935243,validation,0.17347333572956292,1,0.5052476543166882,1,1
2020-08-06,SCHW,30.711498260498047,Financials,1.0,0.09233588814079541,validation,-0.08654114975664938,1,0.49997670213578965,0,0
2020-08-06,MRK,64.05770111083984,Pharma,1.0,0.05169654119717193,validation,0.02005640461207174,1,0.5021376885301125,1,1
2020-08-06,LLY,143.15235900878906,Pharma,0.0,-0.008074500462765921,validation,0.7205093399325566,1,0.5163318250224371,1,0
2020-08-06,PFE,27.247282028198242,Pharma,0.0,-0.049908357631412104,validation,-0.9911526387328892,1,0.48164621174787686,0,1
2020-08-06,MS,41.39481735229492,Financials,1.0,0.06592502370430808,validation,0.7530141335583539,1,0.5169900468403695,1,1
2020-08-06,GS,178.36648559570312,Financials,1.0,0.039006705718484413,validation,-0.20478924306456003,1,0.49757953601913524,0,0
2020-08-06,WFC,21.2779541015625,Financials,1.0,0.022689591472614623,validation,-0.4947721515072412,1,0.49170159931219565,0,0
2020-08-06,NVDA,11.296381950378418,Technology,1.0,0.11387023258111051,validation,0.651926156516616,1,0.5149428329236894,1,1
2020-08-06,AAPL,110.28357696533203,Technology,1.0,0.06387542823153836,validation,0.14735765519300353,1,0.5047182766932858,1,1
2020-08-06,ABBV,73.93732452392578,Pharma,0.0,-0.0075617733484275584,validation,-2.0,1,0.46126387634588845,0,1
2020-08-06,AVGO,28.989246368408203,Technology,1.0,0.10265480355772216,validation,0.41197347814428104,1,0.5100814757373516,1,1
2020-08-07,ABBV,74.21686553955078,Pharma,0.0,-0.029057070014010478,validation,-2.0,1,0.46126387634588845,0,1
2020-08-07,PFE,27.37544059753418,Pharma,0.0,-0.06553990335559057,validation,-0.19669003965681323,1,0.4977437235654369,0,1
2020-08-07,NVDA,11.16085147857666,Technology,1.0,0.06402648346351514,validation,0.651926156516616,1,0.5149428329236894,1,1
2020-08-07,JPM,85.26953125,Financials,1.0,0.005434016245590811,validation,0.17347333572956292,1,0.5052476543166882,1,1
2020-08-07,LLY,143.1991424560547,Pharma,0.0,-0.018912061004833558,validation,0.7205093399325566,1,0.5163318250224371,1,0
2020-08-07,MRK,64.03401184082031,Pharma,1.0,0.028511273472650034,validation,0.02005640461207174,1,0.5021376885301125,1,1
2020-08-07,C,42.638126373291016,Financials,0.0,-0.020721497953580914,validation,-0.26123267890696167,1,0.4964353276907123,0,1
2020-08-07,BAC,22.591442108154297,Financials,0.0,-0.01733085835678605,validation,-0.06767747378228062,1,0.5003591160334049,1,0
2020-08-07,MS,42.14820861816406,Financials,0.0,-0.0035751070242286964,validation,0.7530141335583539,1,0.5169900468403695,1,0
2020-08-07,GILD,55.32905960083008,Pharma,0.0,-0.07512599298092049,validation,-1.785316455804903,1,0.46559273779900123,0,1
2020-08-07,BMY,48.22332763671875,Pharma,0.0,-0.040806612782578244,validation,0.39385883225950513,1,0.509714390418926,1,0
2020-08-07,AAPL,107.77619934082031,Technology,1.0,0.01536728073495075,validation,0.14735765519300353,1,0.5047182766932858,1,1
2020-08-07,AMGN,199.97610473632812,Pharma,1.0,0.00874791711717271,validation,-0.08872087704626336,1,0.49993251360451324,0,0
2020-08-07,CRM,197.63088989257812,Technology,1.0,0.20004983038059643,validation,0.9376338905881726,1,0.5207274098062118,1,1
2020-08-07,WFC,22.00653076171875,Financials,0.0,-0.04387706105864575,validation,-0.4947721515072412,1,0.49170159931219565,0,1
2020-08-07,AMZN,158.3730010986328,Technology,0.0,-0.005562796044717766,validation,1.2854546471100603,1,0.5277619114360739,1,0
2020-08-07,META,266.1032409667969,Technology,1.0,0.010132607067399713,validation,-0.03875665218119251,1,0.5009454124595883,1,1
2020-08-07,GOOGL,74.26001739501953,Technology,1.0,0.016838396496027253,validation,-0.32728106701333237,1,0.4950964582524662,0,0
2020-08-07,AVGO,28.704774856567383,Technology,1.0,0.07550721219989764,validation,0.41197347814428104,1,0.5100814757373516,1,1
2020-08-07,MSFT,201.9608612060547,Technology,0.0,-0.04391053685307478,validation,-0.37109690588599725,1,0.49420830329376475,0,1
2020-08-07,GS,181.87704467773438,Financials,0.0,-0.021914520868083875,validation,-0.20478924306456003,1,0.49757953601913524,0,1
2020-08-07,SCHW,31.545551300048828,Financials,1.0,0.018213848348571426,validation,-0.08654114975664938,1,0.49997670213578965,0,0
2020-08-07,JNJ,125.79148864746094,Pharma,0.0,-0.0024218598277435666,validation,-0.8993206342743159,1,0.4835056135347992,0,1
2020-08-07,AXP,92.0821762084961,Financials,1.0,0.04548206434539592,validation,-0.09083438662792298,1,0.49988966747301883,0,0
2020-08-10,ABBV,73.78556823730469,Pharma,0.0,-0.008118622445022927,validation,-2.0,1,0.46126387634588845,0,1
2020-08-10,GOOGL,74.18319702148438,Technology,1.0,0.03367813940477249,validation,-0.32728106701333237,1,0.4950964582524662,0,0
2020-08-10,JPM,86.35064697265625,Financials,1.0,0.0022856204793857415,validation,0.17347333572956292,1,0.5052476543166882,1,1
2020-08-10,CRM,193.80702209472656,Technology,1.0,0.2701866740485668,validation,0.9376338905881726,1,0.5207274098062118,1,1
2020-08-10,AVGO,28.83071517944336,Technology,1.0,0.09979830106622312,validation,0.41197347814428104,1,0.5100814757373516,1,1
2020-08-10,AMGN,197.88233947753906,Pharma,1.0,0.03797695586130523,validation,-0.08872087704626336,1,0.49993251360451324,0,0
2020-08-10,MS,42.34074401855469,Financials,1.0,0.00948972608540366,validation,0.7530141335583539,1,0.5169900468403695,1,1
2020-08-10,JNJ,125.3089828491211,Pharma,1.0,0.018012299796785314,validation,-0.8993206342743159,1,0.4835056135347992,0,0
2020-08-10,GS,182.84637451171875,Financials,0.0,-0.02834878019063647,validation,-0.3848030457640838,1,0.49393048460751315,0,1
2020-08-10,SCHW,31.323135375976562,Financials,1.0,0.03639078562719189,validation,-0.10857353508659856,1,0.49953005063955025,0,0
2020-08-10,AAPL,109.34271240234375,Technology,1.0,0.040739704968710155,validation,0.14735765519300353,1,0.5047182766932858,1,1
2020-08-10,WFC,21.681747436523438,Financials,0.0,-0.034818007157259134,validation,-0.4947721515072412,1,0.49170159931219565,0,1
2020-08-10,GILD,54.65890121459961,Pharma,0.0,-0.058385513127226174,validation,-1.785316455804903,1,0.46559273779900123,0,1
2020-08-10,NVDA,11.126470565795898,Technology,1.0,0.1391674773612641,validation,0.651926156516616,1,0.5149428329236894,1,1
2020-08-10,BAC,22.980798721313477,Financials,0.0,-0.032842522137713215,validation,-0.06767747378228062,1,0.5003591160334049,1,0
2020-08-10,META,260.71051025390625,Technology,1.0,0.04076068698420987,validation,-0.03875665218119251,1,0.5009454124595883,1,1
2020-08-10,AMZN,157.4080047607422,Technology,1.0,0.03826038875362303,validation,1.2854546471100603,1,0.5277619114360739,1,1
2020-08-10,AXP,94.36660766601562,Financials,1.0,0.021255544182872788,validation,-0.09083438662792298,1,0.49988966747301883,0,0
2020-08-10,PFE,27.332717895507812,Pharma,0.0,-0.05756689222269917,validation,-0.19669003965681323,1,0.4977437235654369,0,1
2020-08-10,BMY,48.855552673339844,Pharma,0.0,-0.044322056594772175,validation,0.39385883225950513,1,0.509714390418926,1,0
2020-08-10,C,43.243507385253906,Financials,0.0,-0.027620437708946732,validation,-0.26123267890696167,1,0.4964353276907123,0,1
2020-08-10,MRK,63.94705581665039,Pharma,1.0,0.049067020486434076,validation,0.02005640461207174,1,0.5021376885301125,1,1
2020-08-10,MSFT,197.94024658203125,Technology,1.0,0.017050523071932444,validation,-0.37109690588599725,1,0.49420830329376475,0,0
2020-08-10,LLY,143.26466369628906,Pharma,0.0,-0.00188987253478623,validation,0.7205093399325566,1,0.5163318250224371,1,0
2020-08-11,AMGN,194.95779418945312,Pharma,1.0,0.032396726116821206,validation,-0.08872087704626336,1,0.49993251360451324,0,0
2020-08-11,AAPL,106.09086608886719,Technology,1.0,0.03762291322409439,validation,0.14735765519300353,1,0.5047182766932858,1,1
2020-08-11,MRK,63.94705581665039,Pharma,1.0,0.032876091436925714,validation,0.02005640461207174,1,0.5021376885301125,1,1
2020-08-11,META,253.90036010742188,Technology,1.0,0.046694833185433327,validation,-0.03875665218119251,1,0.5009454124595883,1,1
2020-08-11,C,43.979766845703125,Financials,0.0,-0.05226926250183017,validation,-0.26123267890696167,1,0.4964353276907123,0,1
2020-08-11,MSFT,193.31137084960938,Technology,1.0,0.01222573091457213,validation,-0.37109690588599725,1,0.49420830329376475,0,0
2020-08-11,JPM,89.07913970947266,Financials,0.0,-0.03843194729329025,validation,0.17347333572956292,1,0.5052476543166882,1,0
2020-08-11,PFE,26.905536651611328,Pharma,0.0,-0.056628870181657076,validation,-0.19669003965681323,1,0.4977437235654369,0,1
2020-08-11,GS,184.31346130371094,Financials,0.0,-0.04661728743381066,validation,-0.3848030457640838,1,0.49393048460751315,0,1
2020-08-11,MS,43.34526062011719,Financials,0.0,-0.02877564311299252,validation,0.7530141335583539,1,0.5169900468403695,1,0
2020-08-11,ABBV,74.0171890258789,Pharma,0.0,-0.03258891514692297,validation,-2.0,1,0.46126387634588845,0,1
