ticker,industry,date,iter37__solvency_eq_assets_rank,iter37__insider_net_buy_rank,iter37__macro_regime_score,iter29__solvency_eq_assets_rank,iter29__profmom_roa_chg_rank,iter29__macro_regime_score,predicted_up_probability,top_driver
KMI,Energy,2026-09-24,0.5,0.8571428571428571,0.6109163757691115,0.5,0.9230769230769231,0.6109163757691115,0.5309138946936075,iter37__insider_net_buy_rank
WMB,Energy,2026-09-24,0.14285714285714285,0.6428571428571429,0.6109163757691115,0.14285714285714285,0.7692307692307693,0.6109163757691115,0.5302657232991972,iter37__insider_net_buy_rank
MPC,Energy,2026-09-24,0.07142857142857142,0.5,0.6109163757691115,0.07142857142857142,0.8461538461538461,0.6109163757691115,0.5289315444311778,iter37__insider_net_buy_rank
VLO,Energy,2026-09-24,0.35714285714285715,0.7857142857142857,0.6109163757691115,0.35714285714285715,0.6923076923076923,0.6109163757691115,0.5284351961893239,iter37__insider_net_buy_rank
OXY,Energy,2026-09-24,0.6428571428571429,1.0,0.6109163757691115,0.6428571428571429,0.07692307692307693,0.6109163757691115,0.518696155945393,iter37__insider_net_buy_rank
BA,Industrials,2026-09-24,0.06666666666666667,1.0,-3.220175646202351,0.06666666666666667,1.0,-3.220175646202351,0.5169722060648478,iter37__insider_net_buy_rank
PM,ConsumerStaples,2026-09-24,0.07142857142857142,0.9666666666666667,-3.220175646202351,0.07142857142857142,0.9333333333333333,-3.220175646202351,0.5148656381364838,iter37__insider_net_buy_rank
PSX,Energy,2026-09-24,0.2857142857142857,0.07142857142857142,0.6109163757691115,0.2857142857142857,1.0,0.6109163757691115,0.5142163100940494,iter29__profmom_roa_chg_rank
BKR,Energy,2026-09-24,0.21428571428571427,0.2857142857142857,0.6109163757691115,0.21428571428571427,0.46153846153846156,0.6109163757691115,0.513595032622423,iter37__insider_net_buy_rank
SLB,Energy,2026-09-24,0.5714285714285714,0.5714285714285714,0.6109163757691115,0.5714285714285714,0.38461538461538464,0.6109163757691115,0.5127097442637644,iter37__insider_net_buy_rank
ZTS,Pharma,2026-09-24,0.14285714285714285,0.9047619047619048,-2.2119935351572293,0.14285714285714285,0.45,-2.2119935351572293,0.5115664690946505,iter37__insider_net_buy_rank
