date,ticker,adj_close,industry,label,split,dryrun_momentum_21d,fold,predicted_up_probability,model_says_up,model_was_right
2020-08-06,SCHW,30.711502075195312,Financials,1.0,validation,-0.03237446993448956,1,0.5109849255039617,1,1
2020-08-06,AAPL,110.28357696533203,Technology,1.0,validation,0.19466655536900346,1,0.4593211926467732,0,0
2020-08-06,MRK,64.05768585205078,Pharma,1.0,validation,0.04016915912205099,1,0.4944500869900242,0,0
2020-08-06,GS,178.3665008544922,Financials,1.0,validation,0.009888842850828805,1,0.501352468433742,1,1
2020-08-06,CRM,204.2562713623047,Technology,1.0,validation,0.03749763996152011,1,0.49505901161506416,0,0
2020-08-06,ABBV,73.93730926513672,Pharma,0.0,validation,-0.05620662907183349,1,0.5164135033544672,1,0
2020-08-06,WFC,21.277950286865234,Financials,1.0,validation,-0.00856423755836666,1,0.5055587531506032,1,1
2020-08-06,MS,41.39480972290039,Financials,1.0,validation,0.018084188538733947,1,0.499484284786203,0,0
2020-08-06,BAC,22.037689208984375,Financials,1.0,validation,0.10259760064387957,1,0.48022916723970105,0,0
2020-08-06,AVGO,28.989240646362305,Technology,1.0,validation,0.030008941506930675,1,0.49676599775434943,0,0
2020-08-06,JPM,83.80924987792969,Financials,1.0,validation,0.042229323457006585,1,0.49398052082451765,0,0
2020-08-06,GILD,54.898250579833984,Pharma,0.0,validation,-0.08993513741168113,1,0.5240893907474361,1,0
2020-08-06,AMGN,200.69064331054688,Pharma,1.0,validation,-0.03990607878260399,1,0.512700844228996,1,1
2020-08-06,MSFT,205.6392822265625,Technology,0.0,validation,0.016539156529266297,1,0.4998364856051606,0,1
2020-08-06,JNJ,124.90267181396484,Pharma,1.0,validation,0.029873759141952005,1,0.49679681225553113,0,0
2020-08-06,META,262.97064208984375,Technology,1.0,validation,0.08908749627234624,1,0.48330478618058187,0,0
2020-08-06,NVDA,11.283230781555176,Technology,1.0,validation,0.10958301325807907,1,0.4786394882389384,0,0
2020-08-06,LLY,143.15234375,Pharma,0.0,validation,-0.09607974003227915,1,0.525486652908069,1,0
2020-08-06,AMZN,161.25,Technology,1.0,validation,0.04670072773061418,1,0.492961406687341,0,0
2020-08-06,AXP,89.07344818115234,Financials,1.0,validation,0.03250812229918121,1,0.49619632005996167,0,0
2020-08-06,C,41.63188171386719,Financials,1.0,validation,0.010325577339256542,1,0.5012529123881423,1,1
