date,ticker,adj_close,industry,label,forward_return,split,avail_date,ag_yoy,ag_2yr,mtcd_disc_rank,mtcd_disc_tilt,mfc_y10_level,mfc_y10_trend21,mfc_slope_trend21,mfc_vix_level,mtcd_macro_score,mtcd_interaction,fold,predicted_up_probability,model_says_up,model_was_right
2020-08-06,JPM,83.43339538574219,Financials,1.0,0.06458257854810934,validation,2020-08-03,0.178096260182395,0.24056099303102263,0.25,-0.25,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,-0.2415743173982697,1,0.5538744611478306,1,1
2020-08-06,AAPL,110.28357696533203,Technology,1.0,0.06387549741132692,validation,2020-07-31,-0.015190588352123724,-0.09121785124156279,1.0,0.5,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,0.4831486347965394,1,0.5786639665569446,1,1
2020-08-06,PFE,27.247282028198242,Pharma,0.0,-0.049908427632839425,validation,2020-08-06,0.13914941837015604,0.07851860831615953,0.375,-0.125,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,-0.12078715869913485,1,0.5579354839065275,1,0
2020-08-06,CRM,204.25625610351562,Technology,1.0,0.2257568239622212,validation,2020-06-01,0.6173915666284611,1.3351913948525889,0.25,-0.25,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,-0.2415743173982697,1,0.5599247584461857,1,1
2020-08-06,ABBV,73.93732452392578,Pharma,0.0,-0.007561876535749801,validation,2020-08-04,1.6168142522137834,1.4258204766308138,0.125,-0.375,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,-0.36236147609740454,1,0.5690595837669218,1,0
2020-08-06,AMZN,161.25,Technology,1.0,0.02158761431080425,validation,2020-07-31,0.3499485239167812,0.9262788963460105,0.375,-0.125,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,-0.12078715869913485,1,0.5608353918922248,1,1
2020-08-06,AMGN,200.6906280517578,Pharma,1.0,0.035247015748611554,validation,2020-07-29,0.09495898809223058,-0.03949234678801494,0.5,0.0,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,0.0,1,0.5619167299467154,1,1
2020-08-06,NVDA,11.296382904052734,Technology,1.0,0.11387030739082671,validation,2020-05-21,0.6585122316525212,1.0291448516579407,0.125,-0.375,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,-0.36236147609740454,1,0.555897416953057,1,1
2020-08-06,META,262.9706726074219,Technology,1.0,0.0657799103008081,validation,2020-07-31,0.1938789463788182,0.5471198679824125,0.5,0.0,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,0.0,1,0.5632753867572036,1,1
2020-08-06,WFC,21.27794647216797,Financials,1.0,0.022690047806642077,validation,2020-08-04,0.023592743637789182,0.04738309304676269,0.875,0.375,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,0.36236147609740454,1,0.574645963595627,1,1
2020-08-06,SCHW,30.711502075195312,Financials,1.0,0.09233550403958057,validation,2020-05-08,0.3110301787387515,0.49314996778350517,0.125,-0.375,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,-0.36236147609740454,1,0.5511043384871793,1,1
2020-08-06,C,41.63188171386719,Financials,1.0,0.03203009690340841,validation,2020-08-05,0.122968415059455,0.16753401863900352,0.625,0.125,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,0.12078715869913485,1,0.5668797080689281,1,1
2020-08-06,BAC,22.03768539428711,Financials,1.0,0.04926885656287716,validation,2020-07-31,0.14432870930743125,0.19637120527824692,0.5,0.0,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,0.0,1,0.5625949360553779,1,1
2020-08-06,AVGO,28.989240646362305,Technology,1.0,0.10265535018068306,validation,2020-06-12,0.14992385357324167,0.4844182321246542,0.625,0.125,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,0.12078715869913485,1,0.5672490671848044,1,1
2020-08-06,BMY,48.46831512451172,Pharma,0.0,-0.022501278562230165,validation,2020-08-06,1.32177365262948,2.9237768450721484,0.25,-0.25,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,-0.2415743173982697,1,0.5695882462455648,1,0
2020-08-06,AXP,89.07345581054688,Financials,1.0,0.101647224042821,validation,2020-07-24,-0.04552056395904924,0.02026928340753331,1.0,0.5,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,0.4831486347965394,1,0.5782511742513312,1,1
2020-08-06,GOOGL,74.58612060546875,Technology,1.0,0.05067290279447367,validation,2020-07-31,0.08320076545793298,0.3160625679315723,0.75,0.25,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,0.2415743173982697,1,0.5709028356532444,1,1
2020-08-06,MS,41.39480972290039,Financials,1.0,0.06592522016281577,validation,2020-08-04,0.0935065400988162,0.11358698444412729,0.75,0.25,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,0.2415743173982697,1,0.5710437410149204,1,1
2020-08-06,GILD,54.898250579833984,Pharma,0.0,-0.040691678768351336,validation,2020-08-06,-0.11510836892896692,-0.14415117435544333,1.0,0.5,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,0.4831486347965394,1,0.5773036686890525,1,0
2020-08-06,LLY,143.15234375,Pharma,0.0,-0.008074288140911934,validation,2020-07-31,0.08536093352367957,-0.009258909516704716,0.625,0.125,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,0.12078715869913485,1,0.5663642643369279,1,0
2020-08-06,JNJ,124.90266418457031,Pharma,1.0,0.013751186379139746,validation,2020-07-24,0.021035734316677157,0.019405915103144267,0.875,0.375,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,0.36236147609740454,1,0.5746110789261168,1,1
2020-08-06,MSFT,205.63925170898438,Technology,0.0,-0.00731243248569724,validation,2020-07-30,0.0514908080793981,0.16404608109778707,0.875,0.375,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,0.36236147609740454,1,0.5750265218839147,1,0
2020-08-06,MRK,64.05770111083984,Pharma,1.0,0.05169642209526226,validation,2020-08-05,0.07919966652771993,0.06555738476011297,0.75,0.25,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,0.2415743173982697,1,0.5708481276623223,1,1
2020-08-06,GS,178.366455078125,Financials,1.0,0.03900696903457357,validation,2020-05-01,0.17767026278733744,0.11938040234814351,0.375,-0.125,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,-0.12078715869913485,1,0.5584657061388337,1,1
2020-08-07,AAPL,107.77619934082031,Technology,1.0,0.01536728073495075,validation,2020-07-31,-0.015190588352123724,-0.09121785124156279,1.0,0.5,0.55,-0.12,-0.06999999999999995,22.65,0.9336897081533669,0.46684485407668347,1,0.5710246577184191,1,1
2020-08-07,ABBV,74.21688079833984,Pharma,0.0,-0.02905716683859738,validation,2020-08-04,1.6168142522137834,1.4258204766308138,0.125,-0.375,0.55,-0.12,-0.06999999999999995,22.65,0.9336897081533669,-0.3501336405575126,1,0.5610381602937212,1,0
2020-08-07,PFE,27.375444412231445,Pharma,0.0,-0.06553989422277484,validation,2020-08-06,0.13914941837015604,0.07851860831615953,0.375,-0.125,0.55,-0.12,-0.06999999999999995,22.65,0.9336897081533669,-0.11671121351917087,1,0.5499684152643253,1,0
2020-08-07,C,42.63812255859375,Financials,0.0,-0.020721231407005325,validation,2020-08-05,0.122968415059455,0.16753401863900352,0.625,0.125,0.55,-0.12,-0.06999999999999995,22.65,0.9336897081533669,0.11671121351917087,1,0.5590436481195225,1,0
