date,ticker,adj_close,industry,label,forward_return,split,pead_sue,pead_sue_decayed,fold,predicted_up_probability,model_says_up,model_was_right
2020-08-06,JPM,83.43339538574219,Financials,1.0,0.06458266999104412,validation,-0.5037667831350101,-0.16848982022372033,1,0.5154487627449262,1,1
2020-08-06,AAPL,110.2835693359375,Technology,1.0,0.06387577854939375,validation,4.0,2.866125242295157,1,0.36944090861846135,0,0
2020-08-06,ABBV,73.93732452392578,Pharma,0.0,-0.007561979723072043,validation,2.131442318622743,1.6017305039447303,1,0.42901872189729,0,1
2020-08-06,AMGN,200.69064331054688,Pharma,1.0,0.035246861005947094,validation,3.9773759405217506,2.591018034140185,1,0.38501703863024633,0,0
2020-08-06,AMZN,161.25,Technology,1.0,0.02158761431080425,validation,4.0,2.866125242295157,1,0.36944090861846135,0,0
2020-08-06,AVGO,28.989242553710938,Technology,1.0,0.10265514604132253,validation,0.0,0.0,1,0.5091865626341964,1,1
2020-08-06,AXP,89.07343292236328,Financials,1.0,0.10164733581481089,validation,0.6803793805794204,0.3663550467104241,1,0.49227132044759425,0,0
2020-08-06,BMY,48.468318939208984,Pharma,0.0,-0.022501198086304575,validation,0.0,0.05249491494776387,1,0.5059898483670721,1,0
2020-08-06,C,41.631893157958984,Financials,1.0,0.032029996469526756,validation,0.9339803582522482,0.3123790371312213,1,0.49757033441829374,0,0
2020-08-06,CRM,204.25624084472656,Technology,1.0,0.22575699023549523,validation,0.0,0.004084417407738121,1,0.5089378627824953,1,1
2020-08-06,GILD,54.89824676513672,Pharma,0.0,-0.04069175108256784,validation,-1.416688626916034,-1.0151017585191278,1,0.5594949211965532,1,0
2020-08-06,GOOGL,74.58613586425781,Technology,1.0,0.05067268784841161,validation,0.6874430357213746,0.4925744593302607,1,0.48464355967878,0,0
2020-08-06,BAC,22.037683486938477,Financials,1.0,0.04926903392589965,validation,1.20702550474532,0.44403986816538643,1,0.491717816031237,0,0
2020-08-06,MSFT,205.63929748535156,Technology,0.0,-0.0073126534630646445,validation,1.4548741833599812,0.7122215221686121,1,0.4773639161072884,0,1
2020-08-06,JNJ,124.90264129638672,Pharma,1.0,0.01375124998175159,validation,1.6283052058923588,0.5990200092002314,1,0.4856234021368087,0,0
2020-08-06,WFC,21.277950286865234,Financials,1.0,0.022690133378463928,validation,-2.42059348557142,-0.8095916103887582,1,0.5392153544329258,1,1
2020-08-06,SCHW,30.71149444580078,Financials,1.0,0.09233602382063766,validation,0.3823795224861162,0.1406695650475954,1,0.5036529541992557,1,1
2020-08-06,PFE,27.247283935546875,Pharma,0.0,-0.049908494140600945,validation,2.3672540191924685,1.542121727199345,1,0.43441763336780803,0,1
2020-08-06,NVDA,11.296382904052734,Technology,1.0,0.11387013854486527,validation,0.0,0.01769750263699457,1,0.5081089318496884,1,1
2020-08-06,MS,41.39482116699219,Financials,1.0,0.06592501762905512,validation,4.0,1.4715177646857693,1,0.45144492803820246,0,0
2020-08-06,MRK,64.05770874023438,Pharma,1.0,0.051696415938120355,validation,2.9656149100771323,2.228592264928471,1,0.3984056297503554,0,0
2020-08-06,META,262.970703125,Technology,1.0,0.0657796705684004,validation,1.206290186063157,0.8643446879521339,1,0.46616228835843626,0,0
2020-08-06,LLY,143.15232849121094,Pharma,0.0,-0.008074395592834516,validation,2.7507886226085225,1.9710261768691533,1,0.4118853934015244,0,1
2020-08-06,GS,178.36647033691406,Financials,1.0,0.03900670905540693,validation,3.02675129996337,1.0616993857437407,1,0.4685736793674183,0,0
2020-08-07,ABBV,74.2168960571289,Pharma,0.0,-0.029057366461765044,validation,2.131442318622743,1.5272451579751902,1,0.4334697968303015,0,1
2020-08-07,AMGN,199.97610473632812,Pharma,1.0,0.008747764511049194,validation,3.9773759405217506,2.4705278054712876,1,0.39199100884274934,0,0
2020-08-07,AMZN,158.3730010986328,Technology,0.0,-0.005562796044717766,validation,4.0,2.732841690699793,1,0.37703721165568516,0,1
2020-08-07,AVGO,28.70478057861328,Technology,1.0,0.07550686491283609,validation,0.0,0.0,1,0.5091865626341964,1,1
2020-08-07,AAPL,107.77618408203125,Technology,1.0,0.015367353699870634,validation,4.0,2.732841690699793,1,0.37703721165568516,0,0
2020-08-07,AXP,92.08220672607422,Financials,1.0,0.045481800709380904,validation,0.6803793805794204,0.3493184214262655,1,0.4933088039645595,0,0
2020-08-07,BMY,48.223323822021484,Pharma,0.0,-0.040806220486486744,validation,1.951652634265832,1.860894843665204,1,0.4122421767330727,0,1
2020-08-07,C,42.63812255859375,Financials,0.0,-0.020721499807467403,validation,0.9339803582522482,0.29785246065843307,1,0.4984551329729134,0,1
2020-08-07,CRM,197.63088989257812,Technology,1.0,0.20004967596355083,validation,0.0,0.003894479560547141,1,0.5089494281819659,1,1
2020-08-07,GILD,55.329078674316406,Pharma,0.0,-0.07512610497410888,validation,-1.416688626916034,-0.9678964355940955,1,0.5566584484401145,1,0
2020-08-07,BAC,22.5914363861084,Financials,0.0,-0.01733086274641249,validation,1.20702550474532,0.4233906621203544,1,0.49297526238084866,0,1
2020-08-07,GOOGL,74.26001739501953,Technology,1.0,0.016838293757099887,validation,0.6874430357213746,0.46966824700014986,1,0.48603757525041674,0,0
2020-08-07,WFC,22.006532669067383,Financials,0.0,-0.04387723059959381,validation,-2.42059348557142,-0.7719431351644115,1,0.5369354904484788,1,0
2020-08-07,MSFT,201.96087646484375,Technology,0.0,-0.04391060908868649,validation,1.4548741833599812,0.6791010525546353,1,0.47937750375581467,0,1
2020-08-07,JNJ,125.79151153564453,Pharma,0.0,-0.002421980689293779,validation,1.6283052058923588,0.5711637546567417,1,0.4873188808288664,0,1
2020-08-07,SCHW,31.545549392700195,Financials,1.0,0.01821366805988256,validation,0.3823795224861162,0.13412800191063187,1,0.5040513766835117,1,1
2020-08-07,PFE,27.37543487548828,Pharma,0.0,-0.0655394990124446,validation,2.3672540191924685,1.470408370867117,1,0.43871535536614753,0,1
2020-08-07,NVDA,11.16085147857666,Technology,1.0,0.0640263980153466,validation,0.0,0.01687451487253174,1,0.5081590467108879,1,1
