date,ticker,adj_close,industry,label,forward_return,split,str_rev_1m,str_rev_1w,str_rev_1m_volnorm,str_rev_1m_ind_rank,fold,predicted_up_probability,model_says_up,model_was_right
2020-08-06,BAC,22.037683486938477,Financials,1.0,0.04926903392589965,validation,-0.10259720913650083,-0.025362110805484894,-1.0830838069849287,0.125,1,0.4956223574997484,0,0
2020-08-06,AAPL,110.2835693359375,Technology,1.0,0.06387577854939375,validation,-0.19466647272222382,-0.18414065621226872,-1.5112086697050575,0.125,1,0.47067155606377115,0,0
2020-08-06,WFC,21.277950286865234,Financials,1.0,0.022690133378463928,validation,0.008564325669221495,0.012586240027304019,0.06526462564547625,0.875,1,0.4853892242153047,0,0
2020-08-06,JPM,83.43339538574219,Financials,1.0,0.06458266999104412,validation,-0.04222913391567551,-0.0022676115200750413,-0.5017804155939412,0.25,1,0.5043562348459407,1,1
2020-08-06,CRM,204.25624084472656,Technology,1.0,0.22575699023549523,validation,-0.03749732412755713,-0.08393310324215442,-0.38289585150976707,0.625,1,0.4935850773143299,0,0
2020-08-06,BMY,48.468318939208984,Pharma,0.0,-0.022501198086304575,validation,-0.029717993913439766,-0.041787337675781355,-0.431332555461001,0.5,1,0.5014827983687916,1,0
2020-08-06,GILD,54.89824676513672,Pharma,0.0,-0.04069175108256784,validation,0.08993537329939683,0.04866606964999165,1.1987662716645453,0.875,1,0.49350209238180665,0,1
2020-08-06,META,262.970703125,Technology,1.0,0.0657796705684004,validation,-0.08908768022442448,-0.13125798767395658,-0.753128702633629,0.375,1,0.49143265705723516,0,0
2020-08-06,AVGO,28.989242553710938,Technology,1.0,0.10265514604132253,validation,-0.030009009276423804,-0.054661858203823854,-0.5024149809723367,0.75,1,0.49310023411784587,0,0
2020-08-06,ABBV,73.93732452392578,Pharma,0.0,-0.007561979723072043,validation,0.05620634238303801,0.03613079903636085,1.044533810194768,0.75,1,0.4857782142118114,0,1
