date,ticker,adj_close,industry,label,forward_return,split,cd_asset_growth,cd_leverage_change,cd_roa,cd_cfoa,cd_gp_to_assets,cd_accruals,cd_asset_growth_inv,cd_leverage_change_inv,cd_neg_accruals,cd_asset_growth_inv_z,cd_leverage_change_inv_z,cd_roa_z,cd_cfoa_z,cd_gp_to_assets_z,cd_neg_accruals_z,cad_quality_composite,cad_quality_ind_rank,fold,predicted_up_probability,model_says_up,model_was_right
2020-08-06,JNJ,124.90264129638672,Pharma,1.0,0.01375124998175159,validation,0.021035734316677157,-0.02032875871219622,0.09585488942990465,0.1484581050923108,0.34555056806654494,-0.052603215662406166,-0.021035734316677157,0.02032875871219622,0.052603215662406166,0.6172529209279073,0.35367538690444517,-0.23025821700204047,0.23779857061564255,0.0,0.9141646452520816,0.3154388844496727,0.875,1,0.45365509695507583,0,0
2020-08-06,MSFT,205.63929748535156,Technology,0.0,-0.0073126534630646445,validation,0.0514908080793981,-0.03490241062619301,0.14696111326835065,0.2013700130430021,0.3217174281722207,-0.05440889977465144,-0.0514908080793981,0.03490241062619301,0.05440889977465144,0.8728247056361935,0.9805721161271513,0.7429069502960354,0.137569681392931,0.49116223302098677,-1.421092291642984,0.300657232471719,0.75,1,0.44489310769247065,0,1
2020-08-06,CRM,204.25624084472656,Technology,1.0,0.22575699023549523,validation,0.6173915666284611,-0.04585687934118022,0.0022856728222617278,0.07856546820012335,0.23333817073613178,-0.07627979537786163,-0.6173915666284611,0.04585687934118022,0.07627979537786163,-1.4831182155957454,1.2539075848091799,-1.7709549189353733,-1.8933913559494686,-0.621972955212936,-0.6570165294227,-0.8620910650511738,0.125,1,0.668757436225093,1,1
2020-08-07,JNJ,125.79151153564453,Pharma,0.0,-0.002421980689293779,validation,0.021035734316677157,-0.02032875871219622,0.09585488942990465,0.1484581050923108,0.34555056806654494,-0.052603215662406166,-0.021035734316677157,0.02032875871219622,0.052603215662406166,0.6172529209279073,0.35367538690444517,-0.23025821700204047,0.23779857061564255,0.0,0.9141646452520816,0.3154388844496727,0.875,1,0.45365509695507583,0,1
2020-08-07,CRM,197.63088989257812,Technology,1.0,0.20004967596355083,validation,0.6173915666284611,-0.04585687934118022,0.0022856728222617278,0.07856546820012335,0.23333817073613178,-0.07627979537786163,-0.6173915666284611,0.04585687934118022,0.07627979537786163,-1.4831182155957454,1.2539075848091799,-1.7709549189353733,-1.8933913559494686,-0.621972955212936,-0.6570165294227,-0.8620910650511738,0.125,1,0.668757436225093,1,1
2020-08-07,MSFT,201.96087646484375,Technology,0.0,-0.04391060908868649,validation,0.0514908080793981,-0.03490241062619301,0.14696111326835065,0.2013700130430021,0.3217174281722207,-0.05440889977465144,-0.0514908080793981,0.03490241062619301,0.05440889977465144,0.8728247056361935,0.9805721161271513,0.7429069502960354,0.137569681392931,0.49116223302098677,-1.421092291642984,0.300657232471719,0.75,1,0.44489310769247065,0,1
2020-08-10,MSFT,197.94027709960938,Technology,1.0,0.017050135003940037,validation,0.0514908080793981,-0.03490241062619301,0.14696111326835065,0.2013700130430021,0.3217174281722207,-0.05440889977465144,-0.0514908080793981,0.03490241062619301,0.05440889977465144,0.8728247056361935,0.9805721161271513,0.7429069502960354,0.137569681392931,0.49116223302098677,-1.421092291642984,0.300657232471719,0.75,1,0.44489310769247065,0,0
2020-08-10,JNJ,125.30897521972656,Pharma,1.0,0.01801254443210376,validation,0.021035734316677157,-0.02032875871219622,0.09585488942990465,0.1484581050923108,0.34555056806654494,-0.052603215662406166,-0.021035734316677157,0.02032875871219622,0.052603215662406166,0.6172529209279073,0.35367538690444517,-0.23025821700204047,0.23779857061564255,0.0,0.9141646452520816,0.3154388844496727,0.875,1,0.45365509695507583,0,0
2020-08-10,CRM,193.80703735351562,Technology,1.0,0.2701865740444038,validation,0.6173915666284611,-0.04585687934118022,0.0022856728222617278,0.07856546820012335,0.23333817073613178,-0.07627979537786163,-0.6173915666284611,0.04585687934118022,0.07627979537786163,-1.4831182155957454,1.2539075848091799,-1.7709549189353733,-1.8933913559494686,-0.621972955212936,-0.6570165294227,-0.8620910650511738,0.125,1,0.668757436225093,1,1
2020-08-11,MSFT,193.3113250732422,Technology,1.0,0.01222581274339718,validation,0.0514908080793981,-0.03490241062619301,0.14696111326835065,0.2013700130430021,0.3217174281722207,-0.05440889977465144,-0.0514908080793981,0.03490241062619301,0.05440889977465144,0.8728247056361935,0.9805721161271513,0.7429069502960354,0.137569681392931,0.49116223302098677,-1.421092291642984,0.300657232471719,0.75,1,0.44489310769247065,0,0
2020-08-11,CRM,188.7249755859375,Technology,1.0,0.29069215768077705,validation,0.6173915666284611,-0.04585687934118022,0.0022856728222617278,0.07856546820012335,0.23333817073613178,-0.07627979537786163,-0.6173915666284611,0.04585687934118022,0.07627979537786163,-1.4831182155957454,1.2539075848091799,-1.7709549189353733,-1.8933913559494686,-0.621972955212936,-0.6570165294227,-0.8620910650511738,0.125,1,0.668757436225093,1,1
2020-08-11,JNJ,124.41166687011719,Pharma,1.0,0.006244907826055801,validation,0.021035734316677157,-0.02032875871219622,0.09585488942990465,0.1484581050923108,0.34555056806654494,-0.052603215662406166,-0.021035734316677157,0.02032875871219622,0.052603215662406166,0.6172529209279073,0.35367538690444517,-0.23025821700204047,0.23779857061564255,0.0,0.9141646452520816,0.3154388844496727,0.875,1,0.45365509695507583,0,0
2020-08-12,CRM,189.34426879882812,Technology,1.0,0.26207036162692066,validation,0.6173915666284611,-0.04585687934118022,0.0022856728222617278,0.07856546820012335,0.23333817073613178,-0.07627979537786163,-0.6173915666284611,0.04585687934118022,0.07627979537786163,-1.4831182155957454,1.2539075848091799,-1.7709549189353733,-1.8933913559494686,-0.621972955212936,-0.6570165294227,-0.8620910650511738,0.125,1,0.668757436225093,1,1
2020-08-12,JNJ,126.68878173828125,Pharma,0.0,-0.0059896351489567845,validation,0.021035734316677157,-0.02032875871219622,0.09585488942990465,0.1484581050923108,0.34555056806654494,-0.052603215662406166,-0.021035734316677157,0.02032875871219622,0.052603215662406166,0.6172529209279073,0.35367538690444517,-0.23025821700204047,0.23779857061564255,0.0,0.9141646452520816,0.3154388844496727,0.875,1,0.45365509695507583,0,1
2020-08-12,MSFT,198.83372497558594,Technology,0.0,-0.0223088940198225,validation,0.0514908080793981,-0.03490241062619301,0.14696111326835065,0.2013700130430021,0.3217174281722207,-0.05440889977465144,-0.0514908080793981,0.03490241062619301,0.05440889977465144,0.8728247056361935,0.9805721161271513,0.7429069502960354,0.137569681392931,0.49116223302098677,-1.421092291642984,0.300657232471719,0.75,1,0.44489310769247065,0,1
2020-08-13,MSFT,198.3679962158203,Technology,0.0,-0.0133852092787482,validation,0.0514908080793981,-0.03490241062619301,0.14696111326835065,0.2013700130430021,0.3217174281722207,-0.05440889977465144,-0.0514908080793981,0.03490241062619301,0.05440889977465144,0.8728247056361935,0.9805721161271513,0.7429069502960354,0.137569681392931,0.49116223302098677,-1.421092291642984,0.300657232471719,0.75,1,0.44489310769247065,0,1
2020-08-13,JNJ,125.2835693359375,Pharma,1.0,0.009036628819582226,validation,0.021035734316677157,-0.02032875871219622,0.09585488942990465,0.1484581050923108,0.34555056806654494,-0.052603215662406166,-0.021035734316677157,0.02032875871219622,0.052603215662406166,0.6172529209279073,0.35367538690444517,-0.23025821700204047,0.23779857061564255,0.0,0.9141646452520816,0.3154388844496727,0.875,1,0.45365509695507583,0,0
