date,ticker,adj_close,industry,label,forward_return,split,mom_12_1,mom_12_1_xs_rank,fold,predicted_up_probability,model_says_up,model_was_right
2020-08-06,AMGN,200.69064331054688,Pharma,1.0,0.035246861005947094,validation,0.4089861495206679,0.7083333333333334,1,0.4913772936148982,0,0
2020-08-06,CRM,204.25624084472656,Technology,1.0,0.22575699023549523,validation,0.41400756214726764,0.75,1,0.4965941156010016,0,0
2020-08-06,GILD,54.89824676513672,Pharma,0.0,-0.04069175108256784,validation,0.22795398400869216,0.4583333333333333,1,0.4791729915145716,0,1
2020-08-06,SCHW,30.71149444580078,Financials,1.0,0.09233602382063766,validation,-0.06766352163870304,0.25,1,0.48729677360016577,0,0
2020-08-06,PFE,27.247283935546875,Pharma,0.0,-0.049908494140600945,validation,-0.049553666722075174,0.2916666666666667,1,0.4908569147800238,0,1
2020-08-06,AMZN,161.25,Technology,1.0,0.02158761431080425,validation,0.718027203765162,0.9166666666666666,1,0.48155354781798293,0,0
2020-08-06,BMY,48.468318939208984,Pharma,0.0,-0.022501198086304575,validation,0.32894376179413065,0.6666666666666666,1,0.49564953679546375,0,1
2020-08-06,JNJ,124.90264129638672,Pharma,1.0,0.01375124998175159,validation,0.13112973435490383,0.4166666666666667,1,0.4855609460352176,0,0
2020-08-06,GS,178.36647033691406,Financials,1.0,0.03900670905540693,validation,0.0071223566545022265,0.375,1,0.49539188944223667,0,0
2020-08-06,MSFT,205.63929748535156,Technology,0.0,-0.0073126534630646445,validation,0.592614525081278,0.8333333333333334,1,0.4857088097590685,0,1
2020-08-06,AXP,89.07343292236328,Financials,1.0,0.10164733581481089,validation,-0.23486080328351833,0.08333333333333333,1,0.4850385319585642,0,0
2020-08-06,AAPL,110.2835693359375,Technology,1.0,0.06387577854939375,validation,0.9389142774868484,0.9583333333333334,1,0.4595431079625497,0,0
2020-08-06,LLY,143.15232849121094,Pharma,0.0,-0.008074395592834516,validation,0.5546475767939203,0.7916666666666666,1,0.48465991957487625,0,1
2020-08-06,META,262.970703125,Technology,1.0,0.0657796705684004,validation,0.3155821216554673,0.625,1,0.4914877151059592,0,0
2020-08-06,C,41.631893157958984,Financials,1.0,0.032029996469526756,validation,-0.19970928186545622,0.125,1,0.4864433686248562,0,0
2020-08-06,MRK,64.05770874023438,Pharma,1.0,0.051696415938120355,validation,-0.04734621205755252,0.3333333333333333,1,0.49642956334297134,0,0
2020-08-06,JPM,83.43339538574219,Financials,1.0,0.06458266999104412,validation,-0.1061125573785966,0.20833333333333334,1,0.4863086375075761,0,0
2020-08-06,BAC,22.037683486938477,Financials,1.0,0.04926903392589965,validation,-0.15050311653055015,0.16666666666666666,1,0.4860716322299831,0,0
2020-08-06,GOOGL,74.58613586425781,Technology,1.0,0.05067268784841161,validation,0.27866917319809237,0.5833333333333334,1,0.4903049581309812,0,0
2020-08-06,WFC,21.277950286865234,Financials,1.0,0.022690133378463928,validation,-0.43579766790600427,0.041666666666666664,1,0.5046008140756283,1,1
2020-08-06,ABBV,73.93732452392578,Pharma,0.0,-0.007561979723072043,validation,0.6073699879137158,0.875,1,0.489692583927545,0,1
2020-08-06,NVDA,11.296382904052734,Technology,1.0,0.11387013854486527,validation,1.6627993300402397,1.0,1,0.3763489480839344,0,0
2020-08-06,AVGO,28.989242553710938,Technology,1.0,0.10265514604132253,validation,0.23950481638515964,0.5416666666666666,1,0.4894069953213064,0,0
2020-08-06,MS,41.39482116699219,Financials,1.0,0.06592501762905512,validation,0.2336809645600415,0.5,1,0.48429446759078604,0,0
2020-08-07,JPM,85.26954650878906,Financials,1.0,0.005433657377790002,validation,-0.1400332945076126,0.20833333333333334,1,0.49059750344679576,0,0
2020-08-07,LLY,143.1991424560547,Pharma,0.0,-0.018911634779122943,validation,0.4917526814327935,0.7916666666666666,1,0.49261223078512795,0,1
2020-08-07,WFC,22.006532669067383,Financials,0.0,-0.04387723059959381,validation,-0.46061582007194146,0.041666666666666664,1,0.5077399737868504,1,0
2020-08-07,GOOGL,74.26001739501953,Technology,1.0,0.016838293757099887,validation,0.2590553511026259,0.5833333333333334,1,0.49278551213046273,0,0
2020-08-07,GS,181.87705993652344,Financials,0.0,-0.021914519029539448,validation,-0.025832687694864465,0.375,1,0.49956077393748427,0,1
2020-08-07,META,266.1032409667969,Technology,1.0,0.010132492384173686,validation,0.28575932665470827,0.6666666666666666,1,0.501112520585217,1,1
2020-08-07,AVGO,28.70478057861328,Technology,1.0,0.07550686491283609,validation,0.2427108962383282,0.5416666666666666,1,0.4890015956957963,0,0
2020-08-07,SCHW,31.545549392700195,Financials,1.0,0.01821366805988256,validation,-0.08353759082168322,0.25,1,0.48930383829460533,0,0
2020-08-07,AXP,92.08220672607422,Financials,1.0,0.045481800709380904,validation,-0.26447021161110473,0.08333333333333333,1,0.4887817185613247,0,0
2020-08-07,AMGN,199.97610473632812,Pharma,1.0,0.008747764511049194,validation,0.3965183632171463,0.75,1,0.4988065559200114,0,0
2020-08-07,ABBV,74.2168960571289,Pharma,0.0,-0.029057366461765044,validation,0.5616899810293778,0.8333333333333334,1,0.4896185524414689,0,1
2020-08-07,BMY,48.223323822021484,Pharma,0.0,-0.040806220486486744,validation,0.26780096863310754,0.625,1,0.497531520998752,0,1
2020-08-07,AMZN,158.3730010986328,Technology,0.0,-0.005562796044717766,validation,0.7363998818517572,0.9166666666666666,1,0.47923286978292645,0,1
2020-08-07,BAC,22.5914363861084,Financials,0.0,-0.01733086274641249,validation,-0.17709657466605955,0.16666666666666666,1,0.4894338362985986,0,1
2020-08-07,MSFT,201.96087646484375,Technology,0.0,-0.04391060908868649,validation,0.5620796893982536,0.875,1,0.49542075150096304,0,1
2020-08-07,CRM,197.63088989257812,Technology,1.0,0.20004967596355083,validation,0.39577243497828474,0.7083333333333334,1,0.49304850237974623,0,0
2020-08-07,NVDA,11.16085147857666,Technology,1.0,0.0640263980153466,validation,1.6635330248767128,1.0,1,0.3762618117226764,0,0
2020-08-07,JNJ,125.79151153564453,Pharma,0.0,-0.002421980689293779,validation,0.11241270166499384,0.4166666666666667,1,0.4879270965211452,0,1
2020-08-07,GILD,55.329078674316406,Pharma,0.0,-0.07512610497410888,validation,0.19574163835378378,0.5,1,0.4890905879198104,0,1
2020-08-07,MS,42.14821243286133,Financials,0.0,-0.0035751067006574155,validation,0.17775183947758988,0.4583333333333333,1,0.48551586577157385,0,1
2020-08-07,MRK,64.03399658203125,Pharma,1.0,0.02851139941265779,validation,-0.06769614095007237,0.2916666666666667,1,0.49315145786483183,0,0
2020-08-07,PFE,27.37543487548828,Pharma,0.0,-0.0655394990124446,validation,-0.06513179887872267,0.3333333333333333,1,0.4986794913379116,0,1
2020-08-07,C,42.63812255859375,Financials,0.0,-0.020721499807467403,validation,-0.24084825791446363,0.125,1,0.4916451552464319,0,1
2020-08-07,AAPL,107.77618408203125,Technology,1.0,0.015367353699870634,validation,0.9052304587444222,0.9583333333333334,1,0.46377923752971345,0,0
2020-08-10,SCHW,31.32314109802246,Financials,1.0,0.036390718086763085,validation,-0.043842796864978606,0.2916666666666667,1,0.4901347159453443,0,0
2020-08-10,GILD,54.65891647338867,Pharma,0.0,-0.05838577599187411,validation,0.21364641634654524,0.5,1,0.4868268414401119,0,1
2020-08-10,ABBV,73.78556060791016,Pharma,0.0,-0.008118726684045341,validation,0.5409303644163863,0.8333333333333334,1,0.49224390104113147,0,1
2020-08-10,LLY,143.26467895507812,Pharma,0.0,-0.0018902983642337112,validation,0.4666325297128655,0.7916666666666666,1,0.49578964558710104,0,1
2020-08-10,GS,182.84640502929688,Financials,0.0,-0.028348942361951734,validation,0.01786621518918996,0.375,1,0.49403287840463295,0,1
2020-08-10,BAC,22.980796813964844,Financials,0.0,-0.03284260786105819,validation,-0.13038990988598198,0.16666666666666666,1,0.4835295452504436,0,1
2020-08-10,NVDA,11.126470565795898,Technology,1.0,0.1391673916490599,validation,1.726276668295946,1.0,1,0.3688402628464185,0,0
