date,ticker,adj_close,industry,label,forward_return,split,q_roa,q_cfoa,q_accruals,q_roe,q_roa_ind,q_cfoa_ind,q_accruals_ind,fold,predicted_up_probability,model_says_up,model_was_right
2020-08-06,GS,178.36647033691406,Financials,1.0,0.03900670905540693,validation,0.007768711528085186,0.021902150573155827,-0.01413343904507064,0.09164420485175202,0.125,0.42857142857142855,0.5714285714285714,1,0.4489081795395426,0,0
2020-08-06,LLY,143.15232849121094,Pharma,0.0,-0.008074395592834516,validation,0.1982128815497891,0.11524769461719923,0.08296518693258989,2.032397566517628,1.0,0.5,0.125,1,0.5042935985376277,1,0
2020-08-06,BMY,48.468318939208984,Pharma,0.0,-0.022501198086304575,validation,0.026851244573534463,0.06298603953902371,-0.03613479496548924,0.07004929319265084,0.125,0.125,0.5,1,0.5111426259557891,1,0
2020-08-06,NVDA,11.296382904052734,Technology,1.0,0.11387013854486527,validation,0.12023737851552421,0.2047389696396319,-0.08450159112410768,0.21345140850446598,0.375,0.75,0.75,1,0.5453955777221942,1,1
2020-08-06,AAPL,110.2835693359375,Technology,1.0,0.06387577854939375,validation,0.17412019764041545,0.2186617676716749,-0.044541570031259456,0.7644503472510445,0.875,0.875,0.25,1,0.5495523861610093,1,1
2020-08-06,AXP,89.07343292236328,Financials,1.0,0.10164733581481089,validation,0.035836231761112995,0.07227689175432643,-0.036440659993213435,0.3209096951856424,1.0,1.0,1.0,1,0.4137029508218609,0,0
2020-08-06,ABBV,73.93732452392578,Pharma,0.0,-0.007561979723072043,validation,0.052711830401926035,0.08910586504380393,-0.03639403464187788,0.5358988305683982,0.25,0.375,0.625,1,0.5037487459278112,1,0
2020-08-06,GILD,54.89824676513672,Pharma,0.0,-0.04069175108256784,validation,0.09629205849751493,0.16347838523974684,-0.06718632674223192,0.29877406113052646,0.625,1.0,1.0,1,0.48191823524126415,0,1
2020-08-06,META,262.970703125,Technology,1.0,0.0657796705684004,validation,0.13232778060147038,0.25995948199955615,-0.12763170139808577,0.1673653426530372,0.625,1.0,0.875,1,0.5603715079290635,1,1
2020-08-06,MRK,64.05770874023438,Pharma,1.0,0.051696415938120355,validation,0.1086243999337858,0.14831981460023175,-0.03969541466644595,0.35608856088560886,0.75,0.875,0.75,1,0.4848702845694865,0,0
2020-08-06,GOOGL,74.58613586425781,Technology,1.0,0.05067268784841161,validation,0.12331772546428622,0.19576863967367106,-0.07245091420938483,0.16565053395201668,0.5,0.375,0.5,1,0.5781261091608066,1,1
2020-08-06,MS,41.39482116699219,Financials,1.0,0.06592501762905512,validation,0.009270394714583186,0.04180289799797614,-0.03253250328339295,0.10435685844538058,0.375,0.8571428571428571,0.8571428571428571,1,0.414826083013795,0,0
2020-08-06,CRM,204.25624084472656,Technology,1.0,0.22575699023549523,validation,0.002349737985565895,0.08076758107528485,-0.07841784308971897,0.0036453059453204107,0.125,0.125,0.625,1,0.527822650447655,1,1
2020-08-06,AMGN,200.69064331054688,Pharma,1.0,0.035246861005947094,validation,0.12062574025934072,0.14074541231483903,-0.0201196720554983,0.7357162960878131,0.875,0.625,0.375,1,0.5134576346746625,1,1
2020-08-06,AMZN,161.25,Technology,1.0,0.02158761431080425,validation,0.05102317334716663,0.19828580719589337,-0.14726263384872673,0.1787651909722222,0.25,0.5,1.0,1,0.5721804305142119,1,1
2020-08-06,SCHW,30.71149444580078,Financials,1.0,0.09233602382063766,validation,0.009989778277626295,0.02514975227831134,-0.015159974000685044,0.14099733536353254,0.625,0.7142857142857143,0.7142857142857143,1,0.4161266242265836,0,0
2020-08-06,BAC,22.037683486938477,Financials,1.0,0.04926903392589965,validation,0.010004785373098617,0.022532469048265155,-0.01252768367516654,0.1032612173755915,0.75,0.5714285714285714,0.42857142857142855,1,0.43438992861561704,0,0
2020-08-06,MSFT,205.63929748535156,Technology,0.0,-0.0073126534630646445,validation,0.14696111326835065,0.2013700130430021,-0.05440889977465144,0.37429841763592103,0.75,0.625,0.375,1,0.5578129128091067,1,0
2020-08-06,WFC,21.277950286865234,Financials,1.0,0.022690133378463928,validation,0.009929570096192233,0.003418384917252736,0.006511185178939498,0.10897728919759625,0.5,0.2857142857142857,0.2857142857142857,1,0.4514071977744674,0,0
2020-08-06,AVGO,28.989242553710938,Technology,1.0,0.10265514604132253,validation,0.18163365089713007,0.14367415880165352,0.03795949209547657,0.49151998716972056,1.0,0.25,0.125,1,0.5416792839806579,1,1
2020-08-06,JPM,83.43339538574219,Financials,1.0,0.06458266999104412,validation,0.011338218520034297,0.0018816631213012917,0.009456555398733005,0.1377530571037487,0.875,0.14285714285714285,0.14285714285714285,1,0.4645028637518671,0,0
