date,ticker,adj_close,industry,label,forward_return,split,mfc_y10_level,mfc_y10_trend21,mfc_slope_trend21,mfc_vix_level,mfc_conditions_score,fold,predicted_up_probability,model_says_up,model_was_right
2020-08-06,WFC,21.27794647216797,Financials,1.0,0.022690047806642077,validation,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,1,0.5650822200969652,1,1
2020-08-06,CRM,204.25625610351562,Technology,1.0,0.2257568239622212,validation,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,1,0.5650822200969652,1,1
2020-08-06,AMGN,200.6906280517578,Pharma,1.0,0.035247015748611554,validation,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,1,0.5650822200969652,1,1
2020-08-06,ABBV,73.93732452392578,Pharma,0.0,-0.007561876535749801,validation,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,1,0.5650822200969652,1,0
2020-08-06,PFE,27.247282028198242,Pharma,0.0,-0.049908427632839425,validation,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,1,0.5650822200969652,1,0
2020-08-06,AVGO,28.989240646362305,Technology,1.0,0.10265535018068306,validation,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,1,0.5650822200969652,1,1
2020-08-06,SCHW,30.711502075195312,Financials,1.0,0.09233550403958057,validation,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,1,0.5650822200969652,1,1
2020-08-06,GS,178.366455078125,Financials,1.0,0.03900696903457357,validation,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,1,0.5650822200969652,1,1
2020-08-06,GOOGL,74.58612060546875,Technology,1.0,0.05067290279447367,validation,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,1,0.5650822200969652,1,1
2020-08-06,MRK,64.05770111083984,Pharma,1.0,0.05169642209526226,validation,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,1,0.5650822200969652,1,1
2020-08-06,BAC,22.03768539428711,Financials,1.0,0.04926885656287716,validation,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,1,0.5650822200969652,1,1
2020-08-06,AAPL,110.28357696533203,Technology,1.0,0.06387549741132692,validation,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,1,0.5650822200969652,1,1
2020-08-06,JPM,83.43339538574219,Financials,1.0,0.06458257854810934,validation,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,1,0.5650822200969652,1,1
2020-08-06,NVDA,11.296382904052734,Technology,1.0,0.11387030739082671,validation,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,1,0.5650822200969652,1,1
2020-08-06,C,41.63188171386719,Financials,1.0,0.03203009690340841,validation,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,1,0.5650822200969652,1,1
2020-08-06,LLY,143.15234375,Pharma,0.0,-0.008074288140911934,validation,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,1,0.5650822200969652,1,0
2020-08-06,JNJ,124.90266418457031,Pharma,1.0,0.013751186379139746,validation,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,1,0.5650822200969652,1,1
2020-08-06,BMY,48.46831512451172,Pharma,0.0,-0.022501278562230165,validation,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,1,0.5650822200969652,1,0
2020-08-06,GILD,54.898250579833984,Pharma,0.0,-0.040691678768351336,validation,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,1,0.5650822200969652,1,0
2020-08-06,MSFT,205.63925170898438,Technology,0.0,-0.00731243248569724,validation,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,1,0.5650822200969652,1,0
2020-08-06,AMZN,161.25,Technology,1.0,0.02158761431080425,validation,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,1,0.5650822200969652,1,1
2020-08-06,MS,41.39480972290039,Financials,1.0,0.06592522016281577,validation,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,1,0.5650822200969652,1,1
2020-08-06,AXP,89.07345581054688,Financials,1.0,0.101647224042821,validation,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,1,0.5650822200969652,1,1
2020-08-06,META,262.9706726074219,Technology,1.0,0.0657799103008081,validation,0.55,-0.09999999999999998,-0.04999999999999993,22.99,0.9662972695930788,1,0.5650822200969652,1,1
2020-08-07,JNJ,125.79149627685547,Pharma,0.0,-0.002421799029739824,validation,0.55,-0.12,-0.06999999999999995,22.65,0.9336897081533669,1,0.5572019563277139,1,0
2020-08-07,JPM,85.26956176757812,Financials,1.0,0.005433656405449572,validation,0.55,-0.12,-0.06999999999999995,22.65,0.9336897081533669,1,0.5572019563277139,1,1
2020-08-07,MSFT,201.9608917236328,Technology,0.0,-0.04391060577109995,validation,0.55,-0.12,-0.06999999999999995,22.65,0.9336897081533669,1,0.5572019563277139,1,0
2020-08-07,GILD,55.32907485961914,Pharma,0.0,-0.07512611015372461,validation,0.55,-0.12,-0.06999999999999995,22.65,0.9336897081533669,1,0.5572019563277139,1,0
2020-08-07,GOOGL,74.26001739501953,Technology,1.0,0.016838293757099887,validation,0.55,-0.12,-0.06999999999999995,22.65,0.9336897081533669,1,0.5572019563277139,1,1
2020-08-07,NVDA,11.16085147857666,Technology,1.0,0.0640263980153466,validation,0.55,-0.12,-0.06999999999999995,22.65,0.9336897081533669,1,0.5572019563277139,1,1
2020-08-07,AXP,92.08219146728516,Financials,1.0,0.045482056808637594,validation,0.55,-0.12,-0.06999999999999995,22.65,0.9336897081533669,1,0.5572019563277139,1,1
2020-08-07,ABBV,74.21688079833984,Pharma,0.0,-0.02905716683859738,validation,0.55,-0.12,-0.06999999999999995,22.65,0.9336897081533669,1,0.5572019563277139,1,0
2020-08-07,BAC,22.59143829345703,Financials,0.0,-0.017330776855261854,validation,0.55,-0.12,-0.06999999999999995,22.65,0.9336897081533669,1,0.5572019563277139,1,0
2020-08-07,WFC,22.006526947021484,Financials,0.0,-0.04387689532056405,validation,0.55,-0.12,-0.06999999999999995,22.65,0.9336897081533669,1,0.5572019563277139,1,0
2020-08-07,AMZN,158.3730010986328,Technology,0.0,-0.005562796044717766,validation,0.55,-0.12,-0.06999999999999995,22.65,0.9336897081533669,1,0.5572019563277139,1,0
2020-08-07,SCHW,31.545555114746094,Financials,1.0,0.018213725219415222,validation,0.55,-0.12,-0.06999999999999995,22.65,0.9336897081533669,1,0.5572019563277139,1,1
2020-08-07,AVGO,28.704774856567383,Technology,1.0,0.0755070793057262,validation,0.55,-0.12,-0.06999999999999995,22.65,0.9336897081533669,1,0.5572019563277139,1,1
2020-08-07,BMY,48.223323822021484,Pharma,0.0,-0.040806299591304995,validation,0.55,-0.12,-0.06999999999999995,22.65,0.9336897081533669,1,0.5572019563277139,1,0
2020-08-07,MRK,64.03399658203125,Pharma,1.0,0.028511518558657523,validation,0.55,-0.12,-0.06999999999999995,22.65,0.9336897081533669,1,0.5572019563277139,1,1
2020-08-07,CRM,197.6309051513672,Technology,1.0,0.2000495833094953,validation,0.55,-0.12,-0.06999999999999995,22.65,0.9336897081533669,1,0.5572019563277139,1,1
2020-08-07,MS,42.1482048034668,Financials,0.0,-0.003574926334289019,validation,0.55,-0.12,-0.06999999999999995,22.65,0.9336897081533669,1,0.5572019563277139,1,0
2020-08-07,GS,181.87704467773438,Financials,0.0,-0.021914101387189744,validation,0.55,-0.12,-0.06999999999999995,22.65,0.9336897081533669,1,0.5572019563277139,1,0
2020-08-07,AMGN,199.97610473632812,Pharma,1.0,0.008747840814110841,validation,0.55,-0.12,-0.06999999999999995,22.65,0.9336897081533669,1,0.5572019563277139,1,1
2020-08-07,META,266.10321044921875,Technology,1.0,0.010132493546200827,validation,0.55,-0.12,-0.06999999999999995,22.65,0.9336897081533669,1,0.5572019563277139,1,1
2020-08-07,LLY,143.19911193847656,Pharma,0.0,-0.01891142569653559,validation,0.55,-0.12,-0.06999999999999995,22.65,0.9336897081533669,1,0.5572019563277139,1,0
2020-08-07,PFE,27.375444412231445,Pharma,0.0,-0.06553989422277484,validation,0.55,-0.12,-0.06999999999999995,22.65,0.9336897081533669,1,0.5572019563277139,1,0
2020-08-07,C,42.63812255859375,Financials,0.0,-0.020721231407005325,validation,0.55,-0.12,-0.06999999999999995,22.65,0.9336897081533669,1,0.5572019563277139,1,0
2020-08-07,AAPL,107.77619934082031,Technology,1.0,0.01536728073495075,validation,0.55,-0.12,-0.06999999999999995,22.65,0.9336897081533669,1,0.5572019563277139,1,1
2020-08-10,ABBV,73.78557586669922,Pharma,0.0,-0.008118725005100136,validation,0.57,-0.050000000000000044,-0.020000000000000018,22.21,0.9315686849567885,1,0.5701672863792149,1,0
2020-08-10,AMGN,197.8823699951172,Pharma,1.0,0.037976872894066815,validation,0.57,-0.050000000000000044,-0.020000000000000018,22.21,0.9315686849567885,1,0.5701672863792149,1,1
2020-08-10,AMZN,157.4080047607422,Technology,1.0,0.03826038875362303,validation,0.57,-0.050000000000000044,-0.020000000000000018,22.21,0.9315686849567885,1,0.5701672863792149,1,1
2020-08-10,JPM,86.35066986083984,Financials,1.0,0.0022852664590651273,validation,0.57,-0.050000000000000044,-0.020000000000000018,22.21,0.9315686849567885,1,0.5701672863792149,1,1
